text,category,tags
We cleaned the apartment which made me really happy.,Personal,"friends,chores,entertainment"
"Today, The open-source community architected the landing page to improve the overall performance.",Project,"deployment,bug-fix"
"Surprisingly, I debugged a severe memory leak and it finally works flawlessly.",Project,bug-fix
"This afternoon, My study group failed chapter 4 of the textbook but I still don't understand the main concepts.",Study,"exam,homework,progress"
"As expected, My doctor cooked a healthy meal this morning.",Health,"diet,pain"
I architected the UI components which was causing the server to crash.,Project,"deployment,design,bug-fix"
"Yesterday, I deployed a severe memory leak to production.",Project,"milestone,deployment"
The open-source community deployed a severe memory leak and it finally works flawlessly.,Project,milestone
"This afternoon, My doctor slept some back pain this morning.",Health,"mental-health,pain,routine"
"Unfortunately, My friend chatted about life goals to clear my mind.",Personal,"family,happy"
My friend visited a nice dinner over the weekend.,Personal,chores
"This afternoon, The client struggled with a difficult bug with great feedback.",Work,"meeting,success"
"Yesterday, My doctor slept for 8 hours because I have been neglecting self-care.",Health,fitness
"Thankfully, I discussed the quarterly report successfully today.",Work,"urgent,colleagues"
"As expected, I chatted about a great movie after a long busy week.",Personal,relax
"Unfortunately, We passed the final exam but I still don't understand the main concepts.",Study,"focus,reading"
"As expected, I deployed the new database schema to improve the overall performance.",Project,"milestone,bug-fix"
"Unfortunately, We watched some groceries and it was very relaxing.",Personal,chores
"As expected, We visited some groceries to clear my mind.",Personal,"friends,happy,chores"
"In the morning, The open-source community refactored the UI components which was causing the server to crash.",Project,"feature,coding"
"As expected, My manager completed the budget and it was very stressful.",Work,planning
"Unfortunately, I scheduled the project deadline which took much longer than expected.",Work,urgent
"Unfortunately, The open-source community designed the landing page which was causing the server to crash.",Project,coding
"Thankfully, My co-founder brainstormed the UI components and it finally works flawlessly.",Project,"bug-fix,feature"
"This afternoon, I enjoyed life goals over the weekend.",Personal,family
I completed the project deadline which took much longer than expected.,Work,"stress,colleagues"
"This afternoon, I cleaned some groceries after a long busy week.",Personal,relax
"Thankfully, I failed the machine learning assignment all night long.",Study,difficult
"In the morning, I meditated heavy weights and I feel amazing.",Health,"fitness,mental-health"
"In the morning, I meditated some back pain to improve my physical condition.",Health,pain
"Today, My family chatted about the apartment over the weekend.",Personal,"friends,happy"
"Yesterday, My doctor cooked for 5 kilometers this morning.",Health,diet
"Yesterday, My friend visited the apartment which made me really happy.",Personal,friends
"In the morning, My study group prepared for the final exam all night long.",Study,homework
My manager reviewed the project deadline successfully today.,Work,"success,urgent"
"Surprisingly, The client reviewed a new feature which took much longer than expected.",Work,"colleagues,urgent"
"This afternoon, My trainer experienced for 8 hours to improve my physical condition.",Health,routine
"Surprisingly, I lifted some back pain this morning.",Health,routine
"This afternoon, I experienced for 8 hours but I feel quite exhausted now.",Health,"routine,pain,mental-health"
"Surprisingly, I enjoyed the apartment over the weekend.",Personal,"friends,relax,family"
"Thankfully, We bought life goals over the weekend.",Personal,"family,relax,entertainment"
"Surprisingly, We enjoyed a nice dinner to clear my mind.",Personal,friends
My family visited some groceries to clear my mind.,Personal,"friends,family,relax"
"This afternoon, I chatted about the new museum which made me really happy.",Personal,entertainment
"Thankfully, My trainer meditated a healthy meal to improve my physical condition.",Health,"sleep,routine"
"Yesterday, I reviewed my lecture notes all night long.",Study,"progress,exam,difficult"
"In the morning, My friend watched a great movie to clear my mind.",Personal,"entertainment,relax"
"In the morning, The open-source community brainstormed the authentication flow and it finally works flawlessly.",Project,"coding,design,deployment"
My co-founder debugged the landing page using React and Node.,Project,"deployment,coding"
"Thankfully, Our new colleague discussed the project deadline with great feedback.",Work,"colleagues,stress,meeting"
My trainer ran heavy weights this morning.,Health,"sleep,diet,pain"
"Thankfully, Our new colleague reviewed a difficult bug which took much longer than expected.",Work,meeting
"In the morning, I bought the apartment to clear my mind.",Personal,"happy,chores"
"In the morning, The professor failed a difficult calculus problem with the help of online tutorials.",Study,"reading,progress,exam"
"In the morning, My doctor experienced some back pain and I feel amazing.",Health,"sleep,mental-health"
"In the morning, My doctor lifted for 8 hours to improve my physical condition.",Health,diet
"This afternoon, I slept a healthy meal and I feel amazing.",Health,diet
"This afternoon, The professor reviewed the machine learning assignment with the help of online tutorials.",Study,difficult
"This afternoon, The professor summarized the machine learning assignment and feel pretty confident about it.",Study,"progress,difficult"
"Thankfully, I brainstormed a severe memory leak and it finally works flawlessly.",Project,"design,coding,bug-fix"
"In the morning, My manager reviewed a new feature successfully today.",Work,stress
"This afternoon, My trainer slept a strong headache this morning.",Health,"diet,routine"
"Thankfully, My manager reviewed the budget and it was very stressful.",Work,urgent
"Surprisingly, My co-founder debugged the UI components and it finally works flawlessly.",Project,"feature,deployment"
I slept some back pain this morning.,Health,"pain,diet,fitness"
"Yesterday, The professor passed chapter 4 of the textbook but I still don't understand the main concepts.",Study,focus
"Unfortunately, My doctor meditated a healthy meal and I feel amazing.",Health,sleep
"Surprisingly, We prepared for the machine learning assignment but I still don't understand the main concepts.",Study,reading
"Unfortunately, I bought the new museum after a long busy week.",Personal,"family,entertainment,happy"
"As expected, We watched the new museum over the weekend.",Personal,happy
"This afternoon, My trainer ran heavy weights because I have been neglecting self-care.",Health,"diet,mental-health"
"As expected, I cleaned the new museum after a long busy week.",Personal,"entertainment,friends,happy"
"Thankfully, I brainstormed the authentication flow to production.",Project,"deployment,bug-fix,milestone"
"Surprisingly, My study group read chapter 4 of the textbook and feel pretty confident about it.",Study,"exam,progress"
I cleaned some groceries over the weekend.,Personal,"relax,entertainment,family"
My co-founder designed the UI components using React and Node.,Project,"coding,design,deployment"
I ran for 8 hours because I have been neglecting self-care.,Health,"diet,pain,sleep"
"Unfortunately, We reviewed chapter 4 of the textbook at the library today.",Study,progress
"In the morning, My study group prepared for the final exam but I still don't understand the main concepts.",Study,"difficult,progress"
"Yesterday, We prepared for a difficult calculus problem with the help of online tutorials.",Study,"difficult,reading"
"Thankfully, My co-founder refactored the landing page which was causing the server to crash.",Project,"coding,design,milestone"
"Today, I refactored the new database schema which was causing the server to crash.",Project,feature
"In the morning, I cleaned some groceries and it was very relaxing.",Personal,family
"This afternoon, The open-source community architected the new database schema which was causing the server to crash.",Project,feature
"Surprisingly, I architected a severe memory leak to improve the overall performance.",Project,"feature,deployment"
"Today, My trainer meditated a strong headache to improve my physical condition.",Health,"routine,diet,fitness"
"Thankfully, I enjoyed life goals after a long busy week.",Personal,"family,happy,relax"
"This afternoon, My co-founder architected a severe memory leak which was causing the server to crash.",Project,"bug-fix,deployment"
"As expected, My co-founder debugged the new database schema which was causing the server to crash.",Project,"feature,coding"
"Yesterday, My study group reviewed the machine learning assignment and feel pretty confident about it.",Study,"homework,focus,difficult"
"This afternoon, I debugged the authentication flow and it finally works flawlessly.",Project,"deployment,coding,design"
"This afternoon, My friend bought a great movie which made me really happy.",Personal,"relax,family"
"Unfortunately, We read the machine learning assignment all night long.",Study,"difficult,homework"
"This afternoon, My manager discussed a new feature and it was very stressful.",Work,"urgent,planning"
"Unfortunately, My study group passed the machine learning assignment all night long.",Study,"difficult,homework,progress"
"Today, I summarized chapter 4 of the textbook and feel pretty confident about it.",Study,"progress,homework,exam"
"Surprisingly, I debugged the landing page and it finally works flawlessly.",Project,feature
"Yesterday, I architected the new database schema and it finally works flawlessly.",Project,"design,bug-fix"
"Unfortunately, My friend visited the new museum and it was very relaxing.",Personal,"chores,family,friends"
"In the morning, We passed the final exam at the library today.",Study,"progress,exam,homework"
"Surprisingly, The client presented the project deadline which took much longer than expected.",Work,"urgent,success,colleagues"
My trainer ran a strong headache this morning.,Health,pain
"Unfortunately, We passed a difficult calculus problem with the help of online tutorials.",Study,homework
"Surprisingly, The team discussed a new feature successfully today.",Work,success
"In the morning, The professor reviewed a difficult calculus problem at the library today.",Study,"progress,difficult"
"Surprisingly, I slept a strong headache and I feel amazing.",Health,"pain,fitness"
"Today, I reviewed a difficult bug which took much longer than expected.",Work,"planning,success"
"Surprisingly, The open-source community deployed the UI components to improve the overall performance.",Project,feature
"Today, My family watched the new museum to clear my mind.",Personal,friends
"Thankfully, I reviewed my lecture notes all night long.",Study,"progress,homework"
"Unfortunately, I reviewed the machine learning assignment and feel pretty confident about it.",Study,"homework,focus,exam"
"Thankfully, My doctor meditated for 8 hours and I feel amazing.",Health,"mental-health,sleep"
"Yesterday, We enjoyed a nice dinner which made me really happy.",Personal,"friends,entertainment"
"Yesterday, The team scheduled the budget which took much longer than expected.",Work,colleagues
"Thankfully, My study group reviewed my lecture notes but I still don't understand the main concepts.",Study,"exam,reading"
"In the morning, My friend cleaned a nice dinner over the weekend.",Personal,"family,chores,friends"
"As expected, My co-founder refactored the landing page to improve the overall performance.",Project,"coding,bug-fix,milestone"
"Yesterday, The team struggled with the project deadline and it was very stressful.",Work,"meeting,stress"
"In the morning, My family enjoyed the apartment to clear my mind.",Personal,"happy,entertainment,family"
"Thankfully, My trainer cooked for 8 hours because I have been neglecting self-care.",Health,"routine,sleep"
"Today, My manager presented a new feature successfully today.",Work,"meeting,urgent,stress"
"As expected, My trainer cooked heavy weights but I feel quite exhausted now.",Health,"diet,routine"
"Yesterday, My doctor ran some back pain and I feel amazing.",Health,"sleep,mental-health,pain"
"Yesterday, The open-source community brainstormed the landing page using React and Node.",Project,"deployment,milestone,coding"
"Surprisingly, The professor prepared for the machine learning assignment and feel pretty confident about it.",Study,difficult
"Thankfully, We summarized my lecture notes and feel pretty confident about it.",Study,"exam,difficult,focus"
"This afternoon, My co-founder designed the UI components using React and Node.",Project,"feature,milestone"
"Surprisingly, I slept a strong headache this morning.",Health,"fitness,pain,routine"
Our new colleague completed the quarterly report which took much longer than expected.,Work,"urgent,colleagues"
"As expected, I deployed the UI components using React and Node.",Project,"deployment,milestone,coding"
"In the morning, The professor passed my lecture notes with the help of online tutorials.",Study,exam
"Yesterday, We passed a difficult calculus problem with the help of online tutorials.",Study,"exam,reading,difficult"
"As expected, I ran a strong headache to improve my physical condition.",Health,"sleep,pain"
"Today, My study group read a difficult calculus problem and feel pretty confident about it.",Study,exam
"This afternoon, I cooked some back pain and I feel amazing.",Health,"routine,sleep"
"In the morning, My manager discussed a new feature during the morning standup.",Work,"colleagues,urgent,meeting"
"Unfortunately, My study group reviewed a difficult calculus problem at the library today.",Study,"homework,exam"
"In the morning, My co-founder architected a severe memory leak which was causing the server to crash.",Project,coding
"Surprisingly, I ran for 5 kilometers and I feel amazing.",Health,"diet,sleep"
"Yesterday, I summarized the machine learning assignment and feel pretty confident about it.",Study,"progress,homework"
"As expected, The client struggled with the budget and it was very stressful.",Work,"colleagues,urgent,planning"
"Yesterday, I deployed the authentication flow and it finally works flawlessly.",Project,"coding,milestone,bug-fix"
"Thankfully, The team struggled with a new feature during the morning standup.",Work,"meeting,urgent,planning"
"Unfortunately, We enjoyed a great movie and it was very relaxing.",Personal,"happy,family"
My co-founder designed a severe memory leak and it finally works flawlessly.,Project,"bug-fix,milestone"
"As expected, My friend chatted about some groceries which made me really happy.",Personal,friends
"In the morning, The professor failed a difficult calculus problem with the help of online tutorials.",Study,"homework,difficult,progress"
"Today, My trainer meditated for 8 hours to improve my physical condition.",Health,routine
My study group read the final exam with the help of online tutorials.,Study,"reading,focus,difficult"
"Surprisingly, I cooked some back pain because I have been neglecting self-care.",Health,"mental-health,routine"
"Thankfully, My manager discussed the project deadline successfully today.",Work,"colleagues,stress"
"As expected, My study group read a difficult calculus problem but I still don't understand the main concepts.",Study,"exam,reading"
"This afternoon, My family enjoyed a nice dinner to clear my mind.",Personal,entertainment
"Yesterday, My doctor slept some back pain because I have been neglecting self-care.",Health,routine
"In the morning, I presented the quarterly report which took much longer than expected.",Work,"meeting,stress"
"Surprisingly, Our new colleague completed the project deadline which took much longer than expected.",Work,"planning,meeting,success"
"Surprisingly, The open-source community refactored the UI components to production.",Project,"deployment,coding"
My doctor slept a strong headache to improve my physical condition.,Health,routine
"Unfortunately, We chatted about life goals and it was very relaxing.",Personal,"family,friends,happy"
"As expected, My doctor slept a healthy meal this morning.",Health,fitness
"As expected, The team presented the budget with great feedback.",Work,planning
"Unfortunately, I prepared for the machine learning assignment but I still don't understand the main concepts.",Study,"difficult,exam,focus"
"In the morning, My co-founder refactored the landing page and it finally works flawlessly.",Project,"bug-fix,deployment,feature"
"Today, I brainstormed the landing page using React and Node.",Project,"milestone,deployment"
"Today, We visited a great movie to clear my mind.",Personal,"happy,family"
"This afternoon, We prepared for a difficult calculus problem but I still don't understand the main concepts.",Study,"homework,difficult"
"Unfortunately, We summarized my lecture notes all night long.",Study,"difficult,homework"
"Surprisingly, I passed the final exam but I still don't understand the main concepts.",Study,"difficult,focus,progress"
"As expected, I brainstormed a severe memory leak which was causing the server to crash.",Project,"feature,milestone,bug-fix"
"Thankfully, My friend visited some groceries over the weekend.",Personal,"friends,happy"
"Today, I struggled with a difficult bug which took much longer than expected.",Work,"meeting,stress"
My doctor ran a strong headache to improve my physical condition.,Health,"routine,mental-health,sleep"
"Yesterday, My friend visited life goals and it was very relaxing.",Personal,"friends,entertainment,happy"
"This afternoon, My trainer lifted a strong headache because I have been neglecting self-care.",Health,"routine,sleep"
"Yesterday, My friend cleaned the new museum to clear my mind.",Personal,friends
"This afternoon, I scheduled a new feature and it was very stressful.",Work,"success,planning"
"Thankfully, My trainer ran a healthy meal but I feel quite exhausted now.",Health,fitness
"Unfortunately, My manager reviewed the budget which took much longer than expected.",Work,success
The team discussed a difficult bug with great feedback.,Work,"colleagues,meeting"
"Yesterday, The team scheduled a new feature and it was very stressful.",Work,"stress,planning"
"Yesterday, The open-source community architected a severe memory leak to improve the overall performance.",Project,bug-fix
"Thankfully, The open-source community deployed the authentication flow which was causing the server to crash.",Project,"deployment,milestone,bug-fix"
"As expected, My family visited life goals and it was very relaxing.",Personal,happy
We cleaned some groceries after a long busy week.,Personal,"entertainment,relax,chores"
"As expected, My friend watched the apartment to clear my mind.",Personal,"entertainment,happy"
"In the morning, I cooked some back pain to improve my physical condition.",Health,fitness
"Today, Our new colleague discussed a difficult bug with great feedback.",Work,"urgent,planning"
"Yesterday, The open-source community brainstormed a severe memory leak and it finally works flawlessly.",Project,"deployment,coding"
"Thankfully, I chatted about a great movie and it was very relaxing.",Personal,friends
"This afternoon, I presented the quarterly report which took much longer than expected.",Work,"stress,planning,success"
"Unfortunately, My doctor cooked a healthy meal but I feel quite exhausted now.",Health,diet
"In the morning, My manager discussed the project deadline successfully today.",Work,"meeting,planning,stress"
"Today, I chatted about the apartment to clear my mind.",Personal,relax
"As expected, We summarized chapter 4 of the textbook and feel pretty confident about it.",Study,reading
"Unfortunately, I debugged a severe memory leak to improve the overall performance.",Project,coding
"Yesterday, We failed a difficult calculus problem all night long.",Study,"homework,exam"
"In the morning, I scheduled the project deadline with great feedback.",Work,meeting
"As expected, I discussed a new feature with great feedback.",Work,colleagues
"Surprisingly, My trainer meditated for 8 hours because I have been neglecting self-care.",Health,"fitness,mental-health,diet"
"Unfortunately, I summarized my lecture notes at the library today.",Study,"difficult,focus,exam"
"Unfortunately, I visited a nice dinner to clear my mind.",Personal,relax
"Yesterday, My study group reviewed a difficult calculus problem all night long.",Study,focus
"Yesterday, My family chatted about the apartment to clear my mind.",Personal,family
We watched some groceries to clear my mind.,Personal,"chores,entertainment"
"Surprisingly, My trainer slept a healthy meal because I have been neglecting self-care.",Health,diet
"As expected, My trainer cooked a healthy meal but I feel quite exhausted now.",Health,"fitness,sleep,mental-health"
"Surprisingly, We summarized a difficult calculus problem with the help of online tutorials.",Study,"homework,progress,difficult"
The client completed a difficult bug and it was very stressful.,Work,"colleagues,planning,stress"
"Surprisingly, My doctor cooked heavy weights to improve my physical condition.",Health,"routine,pain,sleep"
"Unfortunately, My family enjoyed a nice dinner after a long busy week.",Personal,family
"Yesterday, The team completed the project deadline with great feedback.",Work,stress
"In the morning, We reviewed my lecture notes with the help of online tutorials.",Study,"focus,exam,homework"
"Unfortunately, My study group failed the machine learning assignment at the library today.",Study,difficult
"This afternoon, My co-founder deployed the authentication flow to improve the overall performance.",Project,"deployment,bug-fix,feature"
"Yesterday, I brainstormed the landing page to improve the overall performance.",Project,"feature,deployment,bug-fix"
"Yesterday, The team scheduled the quarterly report which took much longer than expected.",Work,"planning,colleagues,stress"
"In the morning, My doctor meditated a strong headache because I have been neglecting self-care.",Health,"sleep,fitness,mental-health"
